character,mean_rating_overall
Anakin Skywalker,3.7873371179328585
Boba Fett,3.2433445363784017
C-3P0,4.433263192761863
Darth Vader,3.3194454828487907
Emperor Palpatine,2.9563906462553065
Han Solo,4.674508694481875
Jar-Jar Binks,2.848852732582395
Lando Calrissian,3.618148141371704
Luke Skywalker,4.591190712982619
Obi Wan Kenobi,4.64477773196506
Padme Amidala,3.6952847079812687
Princess Leia Organa,4.567163928508466
R2-D2,4.5908212147825935
Yoda,4.6495131042739795
