census_region,character,1,2,3,4,5,n
Mountain,Darth Vader,21.5,18.5,10.8,18.5,30.8,65
Mountain,Emperor Palpatine,31.4,7.8,35.3,13.7,11.8,51
Mountain,Han Solo,0.0,0.0,6.1,13.6,80.3,66
Mountain,Jar-Jar Binks,29.1,20.0,29.1,14.5,7.3,55
Mountain,Lando Calrissian,1.8,9.1,36.4,38.2,14.5,55
Mountain,Luke Skywalker,0.0,0.0,4.5,32.8,62.7,67
Mountain,Obi Wan Kenobi,0.0,1.5,4.5,22.7,71.2,66
Mountain,Padme Amidala,3.7,7.4,40.7,27.8,20.4,54
Mountain,Princess Leia Organa,0.0,1.5,6.0,22.4,70.1,67
Mountain,R2-D2,0.0,1.5,6.1,25.8,66.7,66
Mountain,Yoda,0.0,3.0,3.0,17.9,76.1,67
New England,Anakin Skywalker,3.5,10.5,26.3,38.6,21.1,57
New England,Boba Fett,9.8,17.6,25.5,23.5,23.5,51
New England,C-3P0,0.0,1.7,13.8,27.6,56.9,58
New England,Darth Vader,17.2,12.1,15.5,24.1,31.0,58
New England,Emperor Palpatine,22.9,12.5,25.0,18.8,20.8,48
New England,Han Solo,0.0,1.7,6.9,15.5,75.9,58
New England,Jar-Jar Binks,27.8,16.7,31.5,18.5,5.6,54
New England,Lando Calrissian,0.0,9.8,21.6,39.2,29.4,51
New England,Luke Skywalker,0.0,1.7,6.9,24.1,67.2,58
New England,Obi Wan Kenobi,3.4,0.0,5.2,19.0,72.4,58
New England,Padme Amidala,4.3,10.6,36.2,23.4,25.5,47
New England,Princess Leia Organa,0.0,3.4,8.6,20.7,67.2,58
New England,R2-D2,0.0,1.7,10.3,25.9,62.1,58
New England,Yoda,1.7,1.7,3.4,12.1,81.0,58
East South Central,Anakin Skywalker,10.0,6.7,16.7,33.3,33.3,30
East South Central,Boba Fett,11.1,14.8,29.6,25.9,18.5,27
East South Central,C-3P0,0.0,0.0,6.5,25.8,67.7,31
East South Central,Darth Vader,22.6,9.7,12.9,16.1,38.7,31
East South Central,Emperor Palpatine,16.7,8.3,29.2,16.7,29.2,24
East South Central,Han Solo,0.0,0.0,6.2,15.6,78.1,32
East South Central,Jar-Jar Binks,25.9,14.8,18.5,18.5,22.2,27
East South Central,Lando Calrissian,0.0,14.8,40.7,18.5,25.9,27
East South Central,Luke Skywalker,0.0,0.0,6.2,12.5,81.2,32
East South Central,Obi Wan Kenobi,0.0,0.0,9.4,9.4,81.2,32
East South Central,Padme Amidala,0.0,4.0,24.0,32.0,40.0,25
East South Central,Princess Leia Organa,0.0,0.0,3.2,12.9,83.9,31
East South Central,R2-D2,0.0,0.0,6.2,18.8,75.0,32
East South Central,Yoda,0.0,0.0,9.4,12.5,78.1,32
