episode,range,sd
Episode I,0.6085321298087254,0.4302971955576423
Episode IV,0.5464446707278587,0.3863947322149192
Episode II,0.26992633879390926,0.19086674458203037
Episode III,0.1432545035634556,0.10129623090523157
Episode V,0.1106406798030144,0.07823477496380081
Episode VI,0.07572157612352681,0.05354323995907902
