variable,best_group,best_mean_value,worst_group,worst_mean_value,value_gap
Episode I,West South Central,3.3947368421052633,New England,4.203389830508475,0.8086529884032116
Episode IV,East South Central,2.875,West South Central,3.6578947368421053,0.7828947368421053
