,avg_range,avg_sd,max_range
Age Group,0.7487055236414606,0.3336814883785793,1.337409420289855
Census Region,0.641155866544802,0.19566453821869448,0.8086529884032116
Household Income,0.4775098541943419,0.18618086879119275,0.6852195423623995
Education Level,0.41866103117826553,0.2096147776690708,0.5640791312762072
Gender,0.2924199831367484,0.20677215303045052,0.6085321298087254
