episode,range,sd
Episode I,0.8086529884032116,0.24218038622861074
Episode IV,0.7828947368421053,0.24786822587892104
Episode II,0.7718321917808217,0.20632582832842258
Episode VI,0.5990867579908676,0.1823753506620966
Episode V,0.5441176470588234,0.17522486786662395
Episode III,0.3403508771929822,0.12001257034749195
