episode,range,sd
Episode IV,0.6852195423623995,0.2715565419586736
Episode II,0.5058750773036484,0.1997301629222714
Episode III,0.46938775510204067,0.17451503471669347
Episode VI,0.4267376515823722,0.16567404561617297
Episode V,0.4202226345083484,0.1596116147694822
Episode I,0.35761646430724214,0.14599781276386287
