episode,range,sd
Episode I,1.337409420289855,0.5972945428950994
Episode IV,0.8759230056819605,0.4003408103766255
Episode VI,0.6425371079572475,0.26667045271668327
Episode III,0.5708333333333329,0.25583445351689454
Episode II,0.5475207128732693,0.23266413697254185
Episode V,0.5180095617130984,0.2492845337936314
