episode,range,sd
Episode V,0.5640791312762072,0.29807357521583877
Episode II,0.5435974626384259,0.26261346713649175
Episode III,0.4187105922104566,0.22899482045009073
Episode IV,0.38943319108012275,0.17002450662124918
Episode VI,0.31908263741742493,0.16425145732325072
Episode I,0.2770631724469559,0.13373083926750373
