character,axis,mean,lower,upper
Anakin Skywalker,age_group,0.04899043795529141,0.02217612604315568,0.08175437369511042
Anakin Skywalker,gender,0.011952656272204815,0.0010994968366660567,0.028567619248165976
Jar-Jar Binks,age_group,0.040366996155566735,0.01599005383144492,0.07143063554542782
Jar-Jar Binks,gender,0.02871984426125916,0.008015180937543904,0.05782444271467872
Luke Skywalker,age_group,0.0416225785865737,0.017477714036467477,0.0719028293924119
Luke Skywalker,gender,0.0024107272668051865,3.357441965321036e-06,0.010545648775723674
