entity,axis,eta_mean,eta_std,ci_low,ci_high
Anakin Skywalker,age_group,0.048654842843026146,0.014556102523397627,0.023409253613132678,0.08053566246608461
Anakin Skywalker,gender,0.011913319894524826,0.007598270568627813,0.0009248672505459429,0.030049878975548488
Luke Skywalker,age_group,0.0390203311805035,0.013347194952469481,0.017133888895985026,0.0684994404771909
Luke Skywalker,gender,0.0026333637188907435,0.0030567953546201667,4.109799186998891e-05,0.010791751498546814
Jar-Jar Binks,age_group,0.040017412758673376,0.013887821731176826,0.015473335592212522,0.06980273957737367
Jar-Jar Binks,gender,0.028562182980703718,0.012438942412201908,0.009231635168305968,0.056237187772524025
