character,polarization_index
Darth Vader,2.5817888799355355
Jar-Jar Binks,1.6063829787234043
Emperor Palpatine,1.5256021511528122
Boba Fett,1.1218409887474636
Padme Amidala,1.027063567362429
C-3P0,0.6492311590416016
Han Solo,0.6136997346054347
Obi Wan Kenobi,0.5725081699346406
Princess Leia Organa,0.49907235621521373
R2-D2,0.4905212534905372
Anakin Skywalker,0.47655416753503044
Luke Skywalker,0.4461850693873082
Yoda,0.40676486460747263
Lando Calrissian,0.21728889671568163
