audience_cluster,character,audience_character_ideological_distance
1.0,Anakin Skywalker,0.5465517557608578
1.0,Boba Fett,1.5562211382355373
1.0,C-3P0,0.8734011928109032
1.0,Darth Vader,2.25033759761029
1.0,Emperor Palpatine,2.122151367996302
1.0,Han Solo,1.2155610896975597
1.0,Jar-Jar Binks,2.386744431400704
1.0,Lando Calrissian,0.6650260608461873
1.0,Luke Skywalker,1.0577211974710634
1.0,Obi Wan Kenobi,1.1793901509728157
1.0,Padme Amidala,1.000439421607034
1.0,Princess Leia Organa,1.0352598358184772
1.0,R2-D2,1.0623840178051422
1.0,Yoda,1.1295563880731874
2.0,Anakin Skywalker,0.6821890521148518
2.0,Boba Fett,1.6587986960358871
2.0,C-3P0,0.7707075370166114
2.0,Darth Vader,2.304561384678889
2.0,Emperor Palpatine,2.234664724256491
2.0,Han Solo,1.08351257334981
2.0,Jar-Jar Binks,2.524010024849684
2.0,Lando Calrissian,0.7952126642924239
2.0,Luke Skywalker,0.9308881647607109
2.0,Obi Wan Kenobi,1.0518280751981268
2.0,Padme Amidala,1.1133059812622839
2.0,Princess Leia Organa,0.9089246844957928
2.0,R2-D2,0.9462086432846418
2.0,Yoda,1.0121904228876457
3.0,Anakin Skywalker,0.7146767865555878
3.0,Boba Fett,1.8052960906584203
3.0,C-3P0,0.6258423238583196
3.0,Darth Vader,2.479518823504976
3.0,Emperor Palpatine,2.369236814462058
3.0,Han Solo,1.0026717090195607
3.0,Jar-Jar Binks,2.550700101442788
3.0,Lando Calrissian,0.8999210289591015
3.0,Luke Skywalker,0.8328132742975323
3.0,Obi Wan Kenobi,0.9549671581451473
3.0,Padme Amidala,1.0653196783576748
3.0,Princess Leia Organa,0.809563451935943
3.0,R2-D2,0.8222754504477384
3.0,Yoda,0.890283003123828
