character,bridge_index
Lando Calrissian,0.7827111032843184
Yoda,0.5932351353925274
Luke Skywalker,0.5538149306126918
Anakin Skywalker,0.5234458324649696
R2-D2,0.5094787465094628
Princess Leia Organa,0.5009276437847863
Obi Wan Kenobi,0.4274918300653594
Han Solo,0.3863002653945653
C-3P0,0.35076884095839844
Padme Amidala,-0.027063567362429097
Boba Fett,-0.12184098874746363
Emperor Palpatine,-0.5256021511528122
Jar-Jar Binks,-0.6063829787234043
Darth Vader,-1.5817888799355355
