character,ideology_axis_1,ideology_axis_2
Anakin Skywalker,-0.3235117630620598,-0.3452140333176526
Boba Fett,-1.4101986022934556,0.42322430222203256
C-3P0,0.9494547366756255,-0.14708378584265067
Darth Vader,-1.6308467793278123,1.460900976676251
Emperor Palpatine,-2.0101364122916,0.31241836597907247
Han Solo,1.2784444313886634,0.26948487560759704
Jar-Jar Binks,-1.859194922900127,-1.3650624033047278
Lando Calrissian,-0.5696253253093554,-0.06847409946579863
Luke Skywalker,1.141384570233659,0.1322152910713621
Obi Wan Kenobi,1.2608669638877044,0.15770794529366267
Padme Amidala,-0.3184155024522036,-0.9015103710766477
Princess Leia Organa,1.1199621974133644,0.12160713058739064
R2-D2,1.1521013461830303,-0.03112539564181848
Yoda,1.219715061854578,-0.019088798788062064
