character,audience_variance
Darth Vader,1.9663980381959005
Jar-Jar Binks,0.7144689048628267
Emperor Palpatine,0.6220023875424712
Boba Fett,0.38837454366872026
Padme Amidala,0.27467002815050423
Obi Wan Kenobi,0.10687322500832053
C-3P0,0.10538873736930518
Han Solo,0.10145414742838085
Princess Leia Organa,0.08290238598217119
Luke Skywalker,0.06583750015429984
R2-D2,0.06020731141384182
Anakin Skywalker,0.057129400119896846
Yoda,0.04195889453016563
Lando Calrissian,0.012533813537111653
