episode,best_group,best_mean_rank,worst_group,worst_mean_rank,rank_gap
Episode IV,$150k+,2.961038961038961,$25–49k,3.6462585034013606,0.6852195423623995
Episode II,$25–49k,3.870748299319728,$150k+,4.376623376623376,0.5058750773036484
