,audience_cluster,Han Solo,Yoda,Obi Wan Kenobi,Luke Skywalker,R2-D2,Princess Leia Organa,C-3P0,Anakin Skywalker,Padme Amidala,Lando Calrissian,Darth Vader,Boba Fett,Emperor Palpatine,Jar-Jar Binks
0,1,-0.3561695941358538,-0.18930549181723233,-0.3774166208539489,-0.2962754587453311,-0.24952428645494873,-0.3324700509574461,-0.3267339831398699,0.22742302966861727,0.12085878977657938,0.031202507978945082,0.6324445515154706,0.31356603272728956,0.6471335828195834,0.6511472674176058
1,2,0.2575301404695809,-0.02815388097300886,0.1950915490806917,0.14990961064197705,0.008527319419361135,0.16660230525776765,0.004236807238137352,-0.24913113786641317,-0.5739611785695042,0.09304319436836828,0.9746721642100331,0.40413747801008704,0.23133498551364662,-0.9552357113057983
2,3,0.09863945366627291,0.2174593727902403,0.18232507177325807,0.14636584810335407,0.24099696703558848,0.16586774569967844,0.32249717590173166,0.021708108197794562,0.45310238879292486,-0.12424570234731336,-1.6071167157255026,-0.717703510737377,-0.8784685683332287,0.3040884438881939
