audience_cluster,demographic_variable,category,standardized_residual
2,gender,Female,-3.563081981950943
2,gender,Male,3.7448445345865746
3,gender,Female,3.620518279652425
3,gender,Male,-3.8052108148528823
2,age_group,30-44,2.2460091239802606
3,age_group,60+,2.1109367930299974
