audience_cluster,character_cluster,mean_rating
1,1,3.704522613065327
1,2,4.288867091711623
1,3,3.7785145888594163
2,1,3.724956063268893
2,2,4.7012081784386615
2,3,2.863157894736842
3,1,2.398268398268398
3,2,4.789129011132941
3,3,3.696564885496183
