audience_cluster,character_cluster,mean_rating,character_cluster_mean_rating,rating_deviation,ci_low,ci_high,significant
1,1,3.704522613065327,3.275915691534206,0.428606921531121,0.3446399631061301,0.5122259493310136,True
1,2,4.288867091711623,4.593068093761075,-0.3042010020494521,-0.3681916721683261,-0.2525202611117027,True
1,3,3.7785145888594163,3.4460791230308137,0.3324354658286026,0.24451047980875926,0.4138620653884918,True
2,1,3.724956063268893,3.275915691534206,0.44904037173468714,0.37792353515606675,0.5238864608619063,True
2,2,4.7012081784386615,4.593068093761075,0.1081400846775864,0.07020971271669833,0.15166814952101318,True
2,3,2.863157894736842,3.4460791230308137,-0.5829212282939715,-0.6659345822444817,-0.5012595374931061,True
3,1,2.398268398268398,3.275915691534206,-0.8776472932658077,-0.9610549520684526,-0.8011904657156891,True
3,2,4.789129011132941,4.593068093761075,0.1960609173718657,0.16227251881588317,0.23573286314840422,True
3,3,3.696564885496183,3.4460791230308137,0.25048576246536935,0.16078644407868395,0.3394080571130863,True
