audience_cluster,block_extremeness,narrative_selectivity,structural_identity_type
1,0.35508112980305856,0.34083075958530235,Broad Mainstream
2,0.38003389490208167,0.4255386503507392,Cult Archetype
3,0.44139799103434757,0.49697912832273783,Cult Archetype
