audience_cluster,community_id,n_characters,density,mean_weight,mean_preference,coalition_type
1,0,3,0.6666666666666666,0.7083036757491594,3.603261815843743,Contested Bloc
1,1,3,1.0,0.4126147860259776,4.282649410711444,Strong Alliance
1,2,4,0.6666666666666666,0.4624479536597882,4.293848715379374,Strong Alliance
2,0,3,1.0,0.2440309326062388,4.656295789717803,Strong Alliance
2,1,2,1.0,0.3180790804852515,4.7306142521733605,Strong Alliance
2,2,2,1.0,0.4556426295332321,4.7374332786954145,Strong Alliance
3,0,3,1.0,1.2720924579529764,2.105297290228797,Antagonist Bloc
3,1,4,1.0,0.3456059738171063,4.767709796795146,Strong Alliance
3,2,3,1.0,0.37504725067395156,4.818183675848665,Strong Alliance
