audience_cluster,community_id,ideology_axis_1,ideology_axis_2,n_characters,density,mean_weight,mean_preference,coalition_type
1,0,-1.3264174574855239,0.22029041716865305,3,0.6666666666666666,0.7083036757491594,3.603261815843743,Contested Bloc
1,1,1.18039109154229,0.17485667567526886,3,1.0,0.4126147860259776,4.282649410711443,Strong Alliance
1,2,1.1482318080940808,-0.008807465653329898,4,0.6666666666666666,0.4624479536597882,4.293848715379374,Strong Alliance
2,0,1.1323348952388361,0.038175483511156266,3,1.0,0.2440309326062388,4.656295789717803,Strong Alliance
2,1,1.1306816748958077,0.12691531649153792,2,1.0,0.4556426295332321,4.7374332786954145,Strong Alliance
2,2,1.2407662209524932,0.07135116154868802,2,1.0,0.3180790804852515,4.7306142521733605,Strong Alliance
3,0,-1.6673984206222114,0.6680982726797683,3,1.0,1.2720924579529764,2.1052972902287967,Antagonist Bloc
3,1,1.1081937478159545,-0.06522458903683291,3,1.0,0.37504725067395156,4.818183675848665,Strong Alliance
3,2,1.2006146879899033,0.17039163764823803,4,1.0,0.3456059738171063,4.767709796795146,Strong Alliance
