audience_cluster,background_supporting_character,contested_character,narrative_catalyst,narrative_consensus,narrative_lightning_rod
1,3.649350649350649,4.080337269241954,4.281117305663258,4.256627671431837,3.6530812081362107
2,3.711191335740072,4.163620788121073,4.724328016337981,4.300221842330671,3.255735578623215
3,3.4939024390243905,4.559098537861979,4.7973175532548815,4.471191421426949,2.3672082617892447
