variable,best_group,best_mean_value,worst_group,worst_mean_value,value_gap
Jar-Jar Binks,30-44,2.4202127659574466,60+,3.1631205673758864,0.7429078014184398
Anakin Skywalker,30-44,3.482587064676617,60+,4.080745341614906,0.5981582769382894
