variable,best_group,best_mean_value,worst_group,worst_mean_value,value_gap
Emperor Palpatine,Mountain,2.6666666666666665,East South Central,3.3333333333333335,0.666666666666667
Padme Amidala,South Atlantic,3.4901960784313726,East South Central,4.08,0.5898039215686275
