variable,best_group,best_mean_value,worst_group,worst_mean_value,value_gap
Darth Vader,Graduate,3.330275229357798,High school,3.75,0.41972477064220204
Jar-Jar Binks,Graduate,2.617021276595745,Some college / Associate,2.9863013698630136,0.36928009326726885
