,avg_range,avg_sd,max_range
Census Region,0.3437320299573417,0.1108683506424653,0.666666666666667
Age Group,0.3084203834064943,0.1422082232908987,0.7429078014184398
Household Income,0.2977721094914148,0.11858697129223351,0.5071451947201919
Gender,0.21118203085428439,0.14932824608181106,0.5519558300580196
Education Level,0.20890406614021081,0.09859233003054625,0.41972477064220204
