variable,pct_age,pct_region,pct_gender,pct_within
Episode I,0.09506303926787318,0.015521994685772342,0.03405288047418298,0.8553620855721715
Episode IV,0.03411276302028549,0.012114947501865675,0.022313069244561605,0.9314592202332872
Episode III,0.02388916731178367,0.006847398676052547,0.0026156964894797573,0.966647737522684
Episode II,0.02115819748151587,0.014553706435066562,0.009766741895517001,0.9545213541879006
Episode VI,0.01886650406544535,0.015344233277570408,0.0005189428162062389,0.965270319840778
Episode V,0.01821605839756482,0.01017690922203788,0.0012319931863478378,0.9703750391940495
