axis,mean_eta_sq,max_eta_sq,pct_significant
age_group,0.03521762159074473,0.09506303926787318,1.0
census_region,0.012426531633060902,0.015521994685772342,0.0
gender,0.011749887351049237,0.03405288047418298,0.5
