respondent_id,cluster
3288388730,1
3290749229,1
3290799403,1
3290796650,1
3290792507,1
3290781544,1
3290781039,1
3290779140,1
3290778828,1
3290836653,1
3290834007,1
3290810023,1
3290805125,1
3290767535,1
3290757230,1
3290755451,1
3288459190,1
3288453555,1
3288446700,1
3288444784,1
3288428243,1
3288420798,1
3288414025,1
3288373068,1
3292765271,1
3292763116,1
3292719380,1
3292684787,1
3292654043,1
3292640424,1
3292609214,1
3288398062,1
3288625580,1
3288618459,1
3288614195,1
3288604946,1
3288602883,1
3288601847,1
3288599799,1
3288584578,1
3288583884,1
3292178389,1
3292176862,1
3292173922,1
3292148570,1
3292125068,1
3288563065,1
3288559015,1
3288740386,1
3288719090,1
3288697760,1
3288682656,1
3288678886,1
3288668791,1
3288668176,1
3288657113,1
3288653548,1
3288653149,1
3288647913,1
3288644592,1
3292050153,1
3292041365,1
3291778150,1
3288639377,1
3289322178,1
3289274314,1
3289236782,1
3289198607,1
3289153001,1
3289148779,1
3289095873,1
3289054324,1
3289049751,1
3291661584,1
3291658046,1
3291641416,1
3291634205,1
3291602842,1
3288750443,1
3288741236,1
3289472648,1
3289467778,1
3289463066,1
3289453110,1
3289448435,1
3289414036,1
3289398157,1
3289394268,1
3291524547,1
3291482197,1
3291468155,1
3291446474,1
3291446275,1
3289381739,1
3289351950,1
3289351379,1
3289522048,1
3289588064,1
3289582090,1
3289567355,1
3289552625,1
3289540349,1
3289539921,1
3289537363,1
3289531711,1
3289529064,1
3289526845,1
3289510637,1
3289489736,1
3291435787,1
3291431939,1
3289383220,1
3289722110,1
3289628791,1
3289692258,1
3289684323,1
3289681765,1
3289673695,1
3289652167,1
3289645505,1
3291181010,1
3291391446,1
3291375306,1
3289621004,1
3289619487,1
3289610391,1
3289600885,1
3289598419,1
3289847932,1
3289843973,1
3289821310,1
3289813977,1
3289799650,1
3289786719,1
3289758800,1
3291330710,1
3291327304,1
3291267852,1
3291262515,1
3291184745,1
3289752347,1
3289751464,1
3289735954,1
3289725827,1
3289913649,1
3289911175,1
3289907541,1
3289902115,1
3289895732,1
3289877093,1
3289870772,1
3291145258,1
3291141478,1
3291119656,1
3291101925,1
3291094347,1
3291092094,1
3291077381,1
3291056296,1
3289855873,1
3290029531,1
3290024333,1
3290022302,1
3290011286,1
3290005674,1
3289995352,1
3289986698,1
3289985995,1
3289971256,1
3289952496,1
3289949409,1
3291051343,1
3291043176,1
3291042516,1
3289918842,1
3289914533,1
3290223393,1
3290173775,1
3290063543,1
3290148834,1
3290145517,1
3290125550,1
3290124259,1
3290032864,1
3290068765,1
3291007877,1
3290999912,1
3290996933,1
3290992477,1
3290058216,1
3290048884,1
3290042369,1
3290342169,1
3290342102,1
3290337251,1
3290318577,1
3290317691,1
3290316632,1
3290316375,1
3290315336,1
3290309722,1
3290977827,1
3290975724,1
3290973695,1
3290971358,1
3290283139,1
3290279732,1
3290262568,1
3290505081,1
3290500457,1
3290491807,1
3290477551,1
3290467000,1
3290437717,1
3290427764,1
3290411058,1
3290409431,1
3290394872,1
3290947011,1
3290941824,1
3290922858,1
3290920752,1
3290919419,1
3290350512,1
3290631608,1
3290630282,1
3290624447,1
3290617461,1
