audience_cluster,Anakin Skywalker,Boba Fett,C-3P0,Darth Vader,Emperor Palpatine,Han Solo,Jar-Jar Binks,Lando Calrissian,Luke Skywalker,Obi Wan Kenobi,Padme Amidala,Princess Leia Organa,R2-D2,Yoda
1,4.014760147601476,3.556910569105692,4.106529209621993,3.951890034364261,3.60352422907489,4.318339100346021,3.5,3.649350649350649,4.294915254237288,4.267361111111111,3.816143497757848,4.23469387755102,4.341296928327645,4.460207612456747
2,3.5382059800664454,3.647482014388489,4.4375,4.294117647058823,3.187725631768953,4.932038834951456,1.893617021276596,3.711191335740072,4.741100323624596,4.839869281045751,3.1213235294117645,4.733766233766234,4.599348534201955,4.621359223300971
3,3.809045226130653,2.525641025641025,4.755760368663594,1.7123287671232876,2.0779220779220777,4.773148148148148,3.152941176470588,3.4939024390243905,4.737556561085973,4.827102803738318,4.148387096774194,4.733031674208145,4.831818181818182,4.86697247706422
