census_region,True,False
,61.1,38.9
East North Central,62.7,37.3
East South Central,62.5,37.5
Middle Atlantic,68.8,31.2
Mountain,72.1,27.9
New England,73.3,26.7
Pacific,58.9,41.1
South Atlantic,66.2,33.8
West North Central,69.7,30.3
West South Central,69.7,30.3
