census_region,True,False
,16.0,84.0
East North Central,34.3,65.7
East South Central,57.9,42.1
Middle Atlantic,45.9,54.1
Mountain,44.3,55.7
New England,40.0,60.0
Pacific,34.9,65.1
South Atlantic,40.0,60.0
West North Central,43.0,57.0
West South Central,44.5,55.5
